what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284385353122
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284385353122
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1284385358797
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1284385358811
opened,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1284385358893
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1284385358933
started,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1284385362311
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.run",1284385362321
started,bundle,org.eclipse.jst.server.core,1.2.1.v20100127,"org.eclipse.jst.server.core",1284385363202
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1284385366905
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385451175
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1284385481202
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385481660
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385483767
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385549223
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1284385553036
opened,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1284385554374
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1284385554418
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1284385563333
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385566806
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385668806
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385713861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385737455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385741512
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385776672
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284385784712
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385789637
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1284385799527
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1284385799546
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284385802510
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284385806032
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1284385807042
