what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282563740027
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1282563741843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282563747073
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282563764667
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282563778099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282563781865
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1282563794438
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1282563795846
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1282563796125
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.wordPrevious",1282563796308
activated,editor,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser.editor",1282563809825
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282563811380
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282563813065
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282563815803
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282564005682
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282564012012
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282564022164
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282564022273
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1282564024957
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1282564039257
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282564043619
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565142910
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565168980
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1282565169884
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565185806
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565185912
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1282565188911
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1282565189027
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565235797
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565408957
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565412804
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565419655
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565419773
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565426687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565439310
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565440787
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1282565464520
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282565464898
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282565464968
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282565485403
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282565488219
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1282565495129
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282565496149
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565499263
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565512253
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565521793
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565523705
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1282565528023
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565534172
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565534291
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565543978
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565544098
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565555223
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565562624
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565563971
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565569543
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565577152
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565578624
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565584150
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565593470
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565594544
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565598009
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565602487
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565603631
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1282565612138
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565630230
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565654604
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565658461
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565661679
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1282565692079
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1282565692361
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1282565692649
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1282565695360
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1282565696008
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1282565696168
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1282565699145
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565705768
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565736989
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565746172
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1282565748070
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1282565748262
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1282565753910
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565755658
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1282565760957
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1282565774598
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565781232
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282565782633
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565794882
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282565916788
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565922758
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1282565931233
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282565935203
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1282565943676
